id,name,price,originalprice,discountPercentage,detail,platform,category,scrapedate,seller
ps--UNB-60021-00042,Buavita Mangga [500 mL],14553.0,15400.0,6,500mL,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00077,Buavita Mini Juice Jambu 125 mL,4653.0,4900.0,5,125mL,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00078,Buavita Mini Juice Apel 125 mL,4653.0,4900.0,5,125mL,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00079,Buavita Mini Juice Jeruk 125 mL,4653.0,4900.0,5,125mL,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00112,Sariwangi Teh Hitam Asli 1.85 g - 30 Pcs,7623.0,8300.0,8,Pcs,BliBli,Teh Sachet,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00117,SARIWANGI 68143146 Teh Melati Celup [1.8 g/ 25 pcs],8910.0,9400.0,5,1.8g/25pcs,BliBli,Teh,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00120,SARI MURNI 68143150 Teh Kantong Bundar 1.8 g - 20 Pcs,5049.0,5300.0,5,Pcs,BliBli,Daun Teh,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00122,SARIWANGI 68143152 Teh Hijau Celup [1.85 g/  25 pcs],10989.0,12000.0,8,1.85g/25pcs,BliBli,Teh,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00124,Sari Murni 68143155 Teh Celup 1.6 g - 25 Pcs,6633.0,7000.0,5,Pcs,BliBli,Daun Teh,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00125,Sariwangi 68143147 Teh Asli Celup 1.85 g - 4 Pcs,1000.0,1000.0,0,Pcs,BliBli,Teh,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00127,Buavita Orange [245 mL],8019.0,8500.0,6,245mL,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00130,Buavita Apple [500 mL],14553.0,15400.0,6,500mL,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00131,Buavita Guava [500 mL],14553.0,15400.0,6,500mL,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00142,Buavita Manggo 245 mL,8019.0,8500.0,6,245mL,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00143,Buavita Apple 245 mL,8019.0,8500.0,6,245mL,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00151,SARIWANGI Teh Hitam Jahe Kunyit Teh Sachet [25 pcs/ 1.5 g],9306.0,9800.0,5,25pcs/1.5g,BliBli,Teh Sachet,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00152,SARIWANGI Teh Mawar Teh Sachet [25 pcs/ 1.8 g],6039.0,6500.0,7,25pcs/1.8g,BliBli,Teh Sachet,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00181,Buavita Jus Buah Asli Korean White Peach Minuman Kolagen Kaya Vitamin C [245 mL],9207.0,10000.0,8,245mL,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00208,[BELI 2 GRATI 1 ] SARIWANGI Teh Mawar Teh Sachet [25 pcs/ 1.8 g],12078.0,18300.0,34,25pcs/1.8g,BliBli,Teh Sachet,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00209,[BELI 2 GRATI 1 ] SARIWANGI 68143152 Teh Hijau Celup [1.85 g/  25 pcs],21978.0,33300.0,34,1.85g/ 25pcs,BliBli,Teh Sachet,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00228,Buavita Mini Juice Jeruk Kartonan [125 mL x 40 Pcs],175527.0,193500.0,9,125mLx40Pcs,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00229,Buavita Mini Juice Jambu [125 mL x 40 Pcs],175527.0,193500.0,9,125mLx40Pcs,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00230,Buavita Mini Juice Apel [125 mL x 40 Pcs],175527.0,193500.0,9,125mLx40Pcs,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00241,[BELI 3 GRATIS 1] Buavita Jus Buah Asli Korean White Peach Minuman Kolagen Kaya Vitamin C 245 mL,27621.0,37200.0,26,BELI3GRATIS1BuavitaJusBuahAsliKoreanWhitePeachMinumanKolagenKayaVitaminC245mL,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00242,Beli Buavita Mangga 500 mL dan Buavita Guava 500 mL Gratis Buavita Apple 245 mL,29106.0,37500.0,22,245mL,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00243,Paket Bundling Buavita dan Sariwangi Gratis Buavita Apel 500mL,49896.0,65100.0,23,500mL,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00244,Paket Bundling Sariwangi Gratis Sarimurni Teh Kantong Bundar 1.8 g - 20 Pcs,15345.0,22200.0,31,Pcs,BliBli,Teh Sachet,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00249,WHS - Buavita Lychee [245 mL],5470.0,8500.0,36,245mL,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNB-60021-00252,Beli 2 Buavita Guava 1000ml Gratis  Buavita Guava 500ml,56430.0,71700.0,21,500ml,BliBli,Jus,2024-01-28,Unilever Beverage Official Store
ps--UNI-22193-00406,Bango 20066269 Kecap Manis Botol 275 mL,19000.0,25000.0,24,275mL,BliBli,Kecap,2024-01-28,Unilever ID Official Store
ps--UNI-22193-00969,Bango 68582213 Kecap Manis 210 mL,12000.0,14900.0,19,210mL,BliBli,Kecap,2024-01-28,Unilever ID Official Store
ps--UNI-22193-00987,Royco Bumbu Kaldu Penyedap Rasa Ayam 220 g,10400.0,11000.0,5,g,BliBli,Penyedap Rasa,2024-01-28,Unilever ID Official Store
ps--UNI-22193-00988,ROYCO Bumbu Kaldu Penyedap Rasa Sapi 220 g,9800.0,11000.0,11,g,BliBli,Bumbu Masak Instan,2024-01-28,Unilever ID Official Store
ps--UNI-22193-00996,Bango 62010012 Kecap Manis Botol 135 mL,9000.0,10900.0,17,135mL,BliBli,Kecap,2024-01-28,Unilever ID Official Store
ps--UNI-22193-01023,Bango Kecap Manis Refill 520 mL ,20900.0,29900.0,30,,BliBli,Kecap,2024-01-28,Unilever ID Official Store
ps--UNI-22193-01119,Bango Kecap Manis 67757643 Kemasan Pouch 520 mL [2 Pcs] ,50500.0,59900.0,16,2Pcs,BliBli,Kecap,2024-01-28,Unilever ID Official Store
ps--UNI-22193-01128,Bango Kecap Manis Flatpack 210 mL [3 Pcs],36200.0,42500.0,15,3Pcs,BliBli,Kecap,2024-01-28,Unilever ID Official Store
ps--UNI-22193-01170,ROYCO Bumbu Kaldu Ayam 67229103 Multi Pack 220 g [2 Pcs],20200.0,24500.0,18,2Pcs,BliBli,Penyedap Rasa,2024-01-28,Unilever ID Official Store
ps--UNI-22193-01275,Royco Saus Tiram [135 ml],9700.0,11800.0,18,135ml,BliBli,Saus & Sambal,2024-01-28,Unilever ID Official Store
ps--UNI-22193-01276,Royco Saus Tiram [275 ml],18600.0,19800.0,6,275ml,BliBli,Saus & Sambal,2024-01-28,Unilever ID Official Store
ps--UNI-22193-01315,Bango Kecap Manis Kemasan Pouch 735 mL [2 Pcs],63500.0,75000.0,15,2Pcs,BliBli,Kecap,2024-01-28,Unilever ID Official Store
ps--UNI-22193-01368,Beli 3 Royco Ayam 220 Free Lock n Lock,31200.0,31200.0,0,Lock,BliBli,Penyedap Rasa,2024-01-28,Unilever ID Official Store
ps--UNI-22193-01412,Bango Kecap Manis [210 mL/ 24 pcs/ 1 Karton],304000.0,304000.0,0,210mL/24pcs/1Karton,BliBli,Kecap,2024-01-28,Unilever ID Official Store
ps--UNI-22193-01413,ROYCO Bumbu Kaldu Penyedap Rasa Ayam [220 g/ 24 pcs/ 1 karton],245200.0,245200.0,0,220g/24pcs/1karton,BliBli,Penyedap Rasa,2024-01-28,Unilever ID Official Store
ps--UNI-22193-01414,ROYCO Bumbu Kaldu Penyedap Rasa Sapi [220 g/ 24 pcs/ 1 Karton],245200.0,245200.0,0,220g/24pcs/1Karton,BliBli,Bumbu Kemasan,2024-01-28,Unilever ID Official Store
ps--UNI-22193-01446,PROMO - BELI 2 BANGO KECAP MANIS 520ML FREE ROYCO JAMUR 170G,50000.0,59900.0,17,170G,BliBli,Kecap,2024-01-28,Unilever ID Official Store
ps--UNI-22193-01523,Buy 2 Get 1 Free ROYCO Bumbu Kaldu Penyedap Rasa Sapi 220 g,19800.0,33000.0,40,g,BliBli,Bumbu Masak Instan,2024-01-28,Unilever ID Official Store
ps--UNI-60025-00076,"Wipol Pembersih Lantai Cairan Disinfektan Teruji Dermatologis Karbol Cemara 750 mL
",18800.0,22500.0,16,"mL
",BliBli,Pembersih Lantai,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00087,"Wipol Pembersih Lantai Cairan Disinfektan Teruji Dermatologis Karbol Cemara 750 mL
",18800.0,22500.0,16,"mL
",BliBli,Pembersih Lantai,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00133,Sunlight Sabun Cuci Piring Cair Refill Jeruk Nipis 650 mL,9400.0,17500.0,46,650mL,BliBli,Cairan Pembersih Dapur,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00138,"Rinso Molto Detergent Cair Deterjen Anti Noda Rose Fresh 700 mL
",17800.0,27600.0,36,"mL
",BliBli,Deterjen,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00139,"Rinso Molto Detergent Cair Deterjen Anti Noda Classic Fresh 700 mL
",22800.0,27600.0,17,"mL
",BliBli,Deterjen,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00159,"Rinso Molto Detergent Bubuk Deterjen Anti Noda Rose Fresh 1.8 Kg
",59400.0,70600.0,16,"Kg
",BliBli,Deterjen,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00161,Molto Pewangi Pakaian Soft & Fresh 7x Kesegaran & Anti Bau 1.7 L,28500.0,34400.0,17,L,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00169,Molto Pelembut & Pewangi Pakaian Bayi Softener Konsentrat Pure Soft & Gentle 1.6 L,55900.0,63700.0,12,L,BliBli,Pelembut & Pelicin Pakaian,2024-01-28,Unilever ID (Home Care)
ps--UNI-60025-00178,Rinso Detergent Bubuk Konsentrat Deterjen Matic Mesin Cuci Bukaan Depan 900 g,43100.0,51000.0,15,g,BliBli,Deterjen,2024-01-28,Unilever ID (Home Care)
